sample	coverage	taxonomy
D3_P186_M_1	3.64	Root; d__Archaea
D3_P186_M_1	30.19	Root; d__Bacteria
D3_P186_M_1	0.16	Root; d__Archaea; p__Methanobacteriota
D3_P186_M_1	0.22	Root; d__Archaea; p__Halobacteriota
D3_P186_M_1	0.21	Root; d__Archaea; p__Thermoproteota
D3_P186_M_1	2.85	Root; d__Bacteria; p__Actinomycetota
D3_P186_M_1	0.17	Root; d__Bacteria; p__Bacteroidota
D3_P186_M_1	0.22	Root; d__Bacteria; p__Chloroflexota
D3_P186_M_1	0.29	Root; d__Bacteria; p__Pseudomonadota
D3_P186_M_1	0.23	Root; d__Bacteria; p__Verrucomicrobiota
D3_P186_M_1	0.63	Root; d__Bacteria; p__Patescibacteria
D3_P186_M_1	0.22	Root; d__Bacteria; p__Bacillota_B
D3_P186_M_1	1.09	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
D3_P186_M_1	3.24	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D3_P186_M_1	0.51	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
D3_P186_M_1	0.37	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
D3_P186_M_1	0.11	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
D3_P186_M_1	6.3	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D3_P186_M_1	6.04	Root; d__Bacteria; p__Bacillota; c__Bacilli
D3_P186_M_1	0.06	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
D3_P186_M_1	0.68	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D3_P186_M_1	0.06	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
D3_P186_M_1	1.84	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D3_P186_M_1	0.62	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
D3_P186_M_1	0.73	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
D3_P186_M_1	2.77	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
D3_P186_M_1	1.61	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
D3_P186_M_1	0.38	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
D3_P186_M_1	1.89	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
D3_P186_M_1	0.57	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
D3_P186_M_1	0.4	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
D3_P186_M_1	1.42	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
D3_P186_M_1	0.58	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
D3_P186_M_1	1.3	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
D3_P186_M_1	4.67	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
D3_P186_M_1	0.17	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
D3_P186_M_1	0.46	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
D3_P186_M_1	0.68	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
D3_P186_M_1	0.71	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D3_P186_M_1	2.94	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
