sample	coverage	taxonomy
D1_P46_M_1	1.83	Root; d__Archaea
D1_P46_M_1	5.71	Root; d__Bacteria
D1_P46_M_1	0.42	Root; d__Archaea; p__Thermoproteota
D1_P46_M_1	0.21	Root; d__Archaea; p__Methanobacteriota
D1_P46_M_1	0.08	Root; d__Bacteria; p__Actinomycetota
D1_P46_M_1	0.28	Root; d__Bacteria; p__Pseudomonadota
D1_P46_M_1	0.24	Root; d__Bacteria; p__Bacillota_B
D1_P46_M_1	0.13	Root; d__Bacteria; p__Spirochaetota
D1_P46_M_1	0.06	Root; d__Bacteria; p__Desulfobacterota
D1_P46_M_1	0.29	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D1_P46_M_1	8.83	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D1_P46_M_1	0.4	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
D1_P46_M_1	5.58	Root; d__Bacteria; p__Bacillota; c__Bacilli
D1_P46_M_1	0.68	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D1_P46_M_1	0.17	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
D1_P46_M_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
D1_P46_M_1	0.76	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D1_P46_M_1	0.06	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
D1_P46_M_1	5.74	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
D1_P46_M_1	1.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
D1_P46_M_1	1.39	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
D1_P46_M_1	3.86	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
D1_P46_M_1	1.32	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
D1_P46_M_1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
D1_P46_M_1	0.29	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
D1_P46_M_1	0.67	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
D1_P46_M_1	0.25	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
D1_P46_M_1	0.45	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
D1_P46_M_1	1.26	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
D1_P46_M_1	1.04	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D1_P46_M_1	0.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
D1_P46_M_1	0.31	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
D1_P46_M_1	0.85	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
D1_P46_M_1	1.4	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
D1_P46_M_1	0.17	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales
D1_P46_M_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
D1_P46_M_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A
D1_P46_M_1	0.15	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
D1_P46_M_1	9.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
D1_P46_M_1	0.12	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932
D1_P46_M_1	0.94	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae
D1_P46_M_1	0.39	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae
D1_P46_M_1	0.25	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
D1_P46_M_1	1.45	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
D1_P46_M_1	3.52	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
D1_P46_M_1	0.56	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
D1_P46_M_1	0.35	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
D1_P46_M_1	1.19	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
D1_P46_M_1	3.08	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-465
D1_P46_M_1	1.65	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-508
D1_P46_M_1	17.26	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
D1_P46_M_1	0.25	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__CAG-274
D1_P46_M_1	3.21	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
D1_P46_M_1	1.75	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
D1_P46_M_1	0.36	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
D1_P46_M_1	0.3	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae
D1_P46_M_1	1.88	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmoidaceae
D1_P46_M_1	0.12	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Metamycoplasmataceae
D1_P46_M_1	10.33	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales; f__Anaeroplasmataceae
D1_P46_M_1	7.59	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae
D1_P46_M_1	1.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae
D1_P46_M_1	1.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
D1_P46_M_1	0.62	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
D1_P46_M_1	0.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae
D1_P46_M_1	0.18	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae
D1_P46_M_1	0.75	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Planococcaceae
D1_P46_M_1	0.21	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__DSM-1321
D1_P46_M_1	0.79	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660
D1_P46_M_1	1.87	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae
D1_P46_M_1	0.4	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae
D1_P46_M_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae
D1_P46_M_1	2.07	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae
D1_P46_M_1	2.11	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
D1_P46_M_1	0.26	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae
D1_P46_M_1	0.89	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae
D1_P46_M_1	0.62	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A
D1_P46_M_1	0.19	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Succinivibrionaceae
D1_P46_M_1	0.7	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae
D1_P46_M_1	0.35	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Sphaerochaetales; f__Sphaerochaetaceae
D1_P46_M_1	0.11	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae
D1_P46_M_1	22.53	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola
D1_P46_M_1	8.37	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Alloprevotella
