sample	coverage	taxonomy
D1_P167_M_1	3.4	Root; d__Archaea
D1_P167_M_1	9.19	Root; d__Bacteria
D1_P167_M_1	0.96	Root; d__Archaea; p__Methanobacteriota
D1_P167_M_1	0.21	Root; d__Archaea; p__Halobacteriota
D1_P167_M_1	0.43	Root; d__Archaea; p__Thermoproteota
D1_P167_M_1	0.91	Root; d__Bacteria; p__Actinomycetota
D1_P167_M_1	0.06	Root; d__Bacteria; p__Bacteroidota
D1_P167_M_1	0.28	Root; d__Bacteria; p__Pseudomonadota
D1_P167_M_1	0.27	Root; d__Bacteria; p__Bacillota_B
D1_P167_M_1	0.23	Root; d__Bacteria; p__Verrucomicrobiota
D1_P167_M_1	0.11	Root; d__Bacteria; p__Chloroflexota
D1_P167_M_1	0.17	Root; d__Bacteria; p__Spirochaetota
D1_P167_M_1	0.11	Root; d__Bacteria; p__Patescibacteria
D1_P167_M_1	3.82	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D1_P167_M_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
D1_P167_M_1	0.45	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D1_P167_M_1	10.02	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D1_P167_M_1	2.43	Root; d__Bacteria; p__Bacillota; c__Bacilli
D1_P167_M_1	0.53	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D1_P167_M_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
D1_P167_M_1	0.28	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
D1_P167_M_1	0.11	Root; d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales
D1_P167_M_1	9.94	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
D1_P167_M_1	1.99	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
D1_P167_M_1	0.79	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
D1_P167_M_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Streptomycetales
D1_P167_M_1	3.61	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
D1_P167_M_1	2.36	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
D1_P167_M_1	1.3	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
D1_P167_M_1	4.52	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
D1_P167_M_1	1.2	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
D1_P167_M_1	0.57	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
D1_P167_M_1	1.02	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
D1_P167_M_1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
D1_P167_M_1	0.77	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
D1_P167_M_1	0.74	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
D1_P167_M_1	0.17	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
D1_P167_M_1	1.37	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D1_P167_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
D1_P167_M_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
D1_P167_M_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A
D1_P167_M_1	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
D1_P167_M_1	0.06	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia; o__RFP12
D1_P167_M_1	0.17	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
D1_P167_M_1	0.19	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae
D1_P167_M_1	156.42	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae
D1_P167_M_1	2.9	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae
D1_P167_M_1	2.19	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae
D1_P167_M_1	0.81	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae
D1_P167_M_1	0.86	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Dermatophilaceae
D1_P167_M_1	7.66	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae
D1_P167_M_1	0.4	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Pseudonocardiaceae
D1_P167_M_1	1.2	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae
D1_P167_M_1	0.52	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae
D1_P167_M_1	0.11	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae
D1_P167_M_1	10.44	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
D1_P167_M_1	0.28	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__QAMH01
D1_P167_M_1	0.83	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae
D1_P167_M_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae
D1_P167_M_1	0.29	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae
D1_P167_M_1	0.27	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932
D1_P167_M_1	2.76	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
D1_P167_M_1	0.19	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae
D1_P167_M_1	0.59	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae
D1_P167_M_1	0.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
D1_P167_M_1	2.22	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
D1_P167_M_1	0.87	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
D1_P167_M_1	0.44	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
D1_P167_M_1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__CAG-272
D1_P167_M_1	1.65	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-465
D1_P167_M_1	1.07	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-508
D1_P167_M_1	0.83	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__CAG-74
D1_P167_M_1	25.43	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
D1_P167_M_1	6.5	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
D1_P167_M_1	0.91	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
D1_P167_M_1	1.31	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
D1_P167_M_1	0.24	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
D1_P167_M_1	0.34	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
D1_P167_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae
D1_P167_M_1	9.17	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae
D1_P167_M_1	1.07	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae
D1_P167_M_1	0.92	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales; f__Anaeroplasmataceae
D1_P167_M_1	0.97	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Planococcaceae
D1_P167_M_1	0.04	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__DSM-1321
D1_P167_M_1	0.97	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20; f__CAG-826
D1_P167_M_1	0.51	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660
D1_P167_M_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Succinivibrionaceae
D1_P167_M_1	0.55	Root; d__Bacteria; p__Verrucomicrobiota; c__Kiritimatiellia; o__RFP12; f__UBA1067
D1_P167_M_1	0.46	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae
D1_P167_M_1	0.06	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae
D1_P167_M_1	0.11	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae
D1_P167_M_1	1.6	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_A
D1_P167_M_1	2.92	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter
D1_P167_M_1	0.43	Root; d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanocorpusculaceae; g__Methanocorpusculum
