sample	coverage	taxonomy
G1_P196_M_1	4.98	Root; d__Archaea
G1_P196_M_1	17.33	Root; d__Bacteria
G1_P196_M_1	0.48	Root; d__Archaea; p__Methanobacteriota
G1_P196_M_1	1.01	Root; d__Archaea; p__Thermoproteota
G1_P196_M_1	0.56	Root; d__Bacteria; p__Actinomycetota
G1_P196_M_1	0.06	Root; d__Bacteria; p__Bacillota_A
G1_P196_M_1	0.28	Root; d__Bacteria; p__Pseudomonadota
G1_P196_M_1	0.09	Root; d__Bacteria; p__Spirochaetota
G1_P196_M_1	0.47	Root; d__Bacteria; p__Bacillota_B
G1_P196_M_1	0.05	Root; d__Bacteria; p__Desulfobacterota
G1_P196_M_1	1.13	Root; d__Bacteria; p__Patescibacteria
G1_P196_M_1	0.65	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
G1_P196_M_1	1.13	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
G1_P196_M_1	11.63	Root; d__Bacteria; p__Bacillota; c__Bacilli
G1_P196_M_1	34.29	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
G1_P196_M_1	1.09	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
G1_P196_M_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
G1_P196_M_1	0.73	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
G1_P196_M_1	0.06	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
G1_P196_M_1	0.46	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
G1_P196_M_1	1.81	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
G1_P196_M_1	0.28	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
G1_P196_M_1	1.39	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
G1_P196_M_1	2.85	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
G1_P196_M_1	6.58	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
G1_P196_M_1	0.64	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
