sample	coverage	taxonomy
G3_P149_M_1	6.35	Root; d__Archaea
G3_P149_M_1	35.05	Root; d__Bacteria
G3_P149_M_1	0.43	Root; d__Archaea; p__Methanobacteriota
G3_P149_M_1	1.51	Root; d__Archaea; p__Thermoproteota
G3_P149_M_1	0.27	Root; d__Archaea; p__Halobacteriota
G3_P149_M_1	0.86	Root; d__Bacteria; p__Bacillota_B
G3_P149_M_1	0.53	Root; d__Bacteria; p__Bacteroidota
G3_P149_M_1	1.42	Root; d__Bacteria; p__Actinomycetota
G3_P149_M_1	0.71	Root; d__Bacteria; p__Pseudomonadota
G3_P149_M_1	0.57	Root; d__Bacteria; p__Patescibacteria
G3_P149_M_1	0.18	Root; d__Bacteria; p__Spirochaetota
G3_P149_M_1	0.74	Root; d__Bacteria; p__Chloroflexota
G3_P149_M_1	0.21	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
G3_P149_M_1	3.07	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
G3_P149_M_1	11.0	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
G3_P149_M_1	0.51	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
G3_P149_M_1	7.68	Root; d__Bacteria; p__Bacillota; c__Bacilli
G3_P149_M_1	3.29	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
G3_P149_M_1	0.35	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
G3_P149_M_1	0.09	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
G3_P149_M_1	1.99	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
G3_P149_M_1	1.25	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
G3_P149_M_1	0.38	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
G3_P149_M_1	0.06	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
G3_P149_M_1	0.05	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales
G3_P149_M_1	0.56	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
G3_P149_M_1	5.54	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
G3_P149_M_1	0.37	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
G3_P149_M_1	7.96	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
G3_P149_M_1	1.8	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
G3_P149_M_1	0.17	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
G3_P149_M_1	0.92	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
G3_P149_M_1	6.11	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
G3_P149_M_1	0.12	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales
G3_P149_M_1	0.99	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
G3_P149_M_1	2.78	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
G3_P149_M_1	0.44	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
G3_P149_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
G3_P149_M_1	0.52	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
G3_P149_M_1	2.1	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
G3_P149_M_1	0.78	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
G3_P149_M_1	1.94	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
G3_P149_M_1	3.4	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
G3_P149_M_1	0.11	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
