sample	coverage	taxonomy
G1_P294_M_1	4.96	Root; d__Archaea
G1_P294_M_1	47.49	Root; d__Bacteria
G1_P294_M_1	0.48	Root; d__Archaea; p__Methanobacteriota
G1_P294_M_1	1.86	Root; d__Archaea; p__Thermoproteota
G1_P294_M_1	0.1	Root; d__Archaea; p__Halobacteriota
G1_P294_M_1	0.17	Root; d__Bacteria; p__Bacteroidota
G1_P294_M_1	0.61	Root; d__Bacteria; p__Bacillota_B
G1_P294_M_1	0.59	Root; d__Bacteria; p__Pseudomonadota
G1_P294_M_1	1.81	Root; d__Bacteria; p__Patescibacteria
G1_P294_M_1	0.17	Root; d__Bacteria; p__Spirochaetota
G1_P294_M_1	0.51	Root; d__Bacteria; p__Chloroflexota
G1_P294_M_1	1.67	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
G1_P294_M_1	0.11	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
G1_P294_M_1	1.46	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
G1_P294_M_1	0.11	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
G1_P294_M_1	0.17	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
G1_P294_M_1	0.17	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
G1_P294_M_1	57.05	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
G1_P294_M_1	0.58	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
G1_P294_M_1	7.21	Root; d__Bacteria; p__Bacillota; c__Bacilli
G1_P294_M_1	1.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
G1_P294_M_1	1.14	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
G1_P294_M_1	0.44	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
G1_P294_M_1	0.11	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
G1_P294_M_1	0.06	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
