sample	coverage	taxonomy
G1_P43_M_1	3.79	Root; d__Archaea
G1_P43_M_1	65.37	Root; d__Bacteria
G1_P43_M_1	0.45	Root; d__Archaea; p__Halobacteriota
G1_P43_M_1	1.3	Root; d__Archaea; p__Thermoproteota
G1_P43_M_1	0.38	Root; d__Bacteria; p__Bacteroidota
G1_P43_M_1	0.06	Root; d__Bacteria; p__Bacillota_A
G1_P43_M_1	1.55	Root; d__Bacteria; p__Actinomycetota
G1_P43_M_1	1.47	Root; d__Bacteria; p__Bacillota_B
G1_P43_M_1	0.51	Root; d__Bacteria; p__Pseudomonadota
G1_P43_M_1	0.22	Root; d__Bacteria; p__Spirochaetota
G1_P43_M_1	0.17	Root; d__Bacteria; p__Chloroflexota
G1_P43_M_1	0.68	Root; d__Bacteria; p__Patescibacteria
G1_P43_M_1	0.89	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
G1_P43_M_1	0.1	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
G1_P43_M_1	0.66	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
G1_P43_M_1	53.65	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
G1_P43_M_1	15.49	Root; d__Bacteria; p__Bacillota; c__Bacilli
G1_P43_M_1	1.42	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
G1_P43_M_1	0.48	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
G1_P43_M_1	0.98	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
G1_P43_M_1	0.91	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
G1_P43_M_1	0.34	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
G1_P43_M_1	0.42	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia; o__Iainarchaeales
G1_P43_M_1	5.72	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
G1_P43_M_1	3.04	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
G1_P43_M_1	1.71	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
G1_P43_M_1	47.42	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
G1_P43_M_1	4.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
G1_P43_M_1	0.35	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
G1_P43_M_1	1.09	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
G1_P43_M_1	2.8	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
G1_P43_M_1	0.21	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
G1_P43_M_1	1.75	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
G1_P43_M_1	0.93	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
G1_P43_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
G1_P43_M_1	0.6	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
G1_P43_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
G1_P43_M_1	3.13	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
G1_P43_M_1	1.01	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
G1_P43_M_1	0.8	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
G1_P43_M_1	0.23	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
G1_P43_M_1	0.06	Root; d__Bacteria; p__Bacillota_B; c__Peptococcia; o__Peptococcales
G1_P43_M_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A
G1_P43_M_1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
G1_P43_M_1	14.66	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
G1_P43_M_1	0.23	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932
G1_P43_M_1	0.31	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
G1_P43_M_1	0.88	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae
G1_P43_M_1	5.31	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
G1_P43_M_1	8.14	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
G1_P43_M_1	422.28	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
G1_P43_M_1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__CAG-274
G1_P43_M_1	26.81	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-465
G1_P43_M_1	11.97	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-508
G1_P43_M_1	0.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
G1_P43_M_1	3.39	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
G1_P43_M_1	2.91	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
G1_P43_M_1	3.96	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
G1_P43_M_1	11.71	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
G1_P43_M_1	5.86	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
G1_P43_M_1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__CAG-74
G1_P43_M_1	61.29	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae
G1_P43_M_1	18.27	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae
G1_P43_M_1	4.13	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales; f__Anaeroplasmataceae
G1_P43_M_1	0.4	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
G1_P43_M_1	2.44	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
G1_P43_M_1	0.28	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae
G1_P43_M_1	0.45	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Metamycoplasmataceae
G1_P43_M_1	0.28	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmoidaceae
G1_P43_M_1	0.34	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Planococcaceae
G1_P43_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__DSM-1321
G1_P43_M_1	0.17	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20; f__CAG-826
G1_P43_M_1	1.8	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660
G1_P43_M_1	5.09	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
G1_P43_M_1	27.34	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae
G1_P43_M_1	1.64	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae
G1_P43_M_1	1.05	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae
G1_P43_M_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Bifidobacteriaceae
G1_P43_M_1	0.82	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae
G1_P43_M_1	0.06	Root; d__Bacteria; p__Bacillota_B; c__Peptococcia; o__Peptococcales; f__Peptococcaceae
G1_P43_M_1	0.78	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae
G1_P43_M_1	0.72	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
G1_P43_M_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A; f__Succinivibrionaceae
G1_P43_M_1	0.76	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
G1_P43_M_1	0.39	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A
