sample	coverage	taxonomy
D3_P265_M_1	3.19	Root; d__Archaea
D3_P265_M_1	4.33	Root; d__Bacteria
D3_P265_M_1	0.22	Root; d__Archaea; p__Halobacteriota
D3_P265_M_1	0.92	Root; d__Bacteria; p__Actinomycetota
D3_P265_M_1	0.31	Root; d__Bacteria; p__Patescibacteria
D3_P265_M_1	0.17	Root; d__Bacteria; p__Pseudomonadota
D3_P265_M_1	3.58	Root; d__Bacteria; p__Bacillota; c__Bacilli
D3_P265_M_1	2.97	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D3_P265_M_1	0.17	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
D3_P265_M_1	5.72	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D3_P265_M_1	0.22	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D3_P265_M_1	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D3_P265_M_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
D3_P265_M_1	0.51	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
D3_P265_M_1	0.06	Root; d__Bacteria; p__Bacillota_B; c__Peptococcia
D3_P265_M_1	1.61	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D3_P265_M_1	1.08	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
D3_P265_M_1	0.34	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
D3_P265_M_1	0.15	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
D3_P265_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
D3_P265_M_1	7.82	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
D3_P265_M_1	0.29	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
D3_P265_M_1	0.6	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
D3_P265_M_1	0.8	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
D3_P265_M_1	0.23	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
D3_P265_M_1	0.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
D3_P265_M_1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
D3_P265_M_1	1.2	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
D3_P265_M_1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
D3_P265_M_1	0.79	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
D3_P265_M_1	1.0	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
D3_P265_M_1	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
D3_P265_M_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
D3_P265_M_1	0.06	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
D3_P265_M_1	0.19	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales
