sample	coverage	taxonomy
D3_P190_M_1	4.27	Root; d__Archaea
D3_P190_M_1	15.17	Root; d__Bacteria
D3_P190_M_1	0.25	Root; d__Archaea; p__Methanobacteriota
D3_P190_M_1	1.44	Root; d__Archaea; p__Thermoproteota
D3_P190_M_1	0.59	Root; d__Archaea; p__Thermoplasmatota
D3_P190_M_1	0.37	Root; d__Archaea; p__Halobacteriota
D3_P190_M_1	2.29	Root; d__Bacteria; p__Actinomycetota
D3_P190_M_1	0.35	Root; d__Bacteria; p__Pseudomonadota
D3_P190_M_1	0.57	Root; d__Bacteria; p__Bacillota_B
D3_P190_M_1	0.4	Root; d__Bacteria; p__Planctomycetota
D3_P190_M_1	1.99	Root; d__Bacteria; p__Chloroflexota
D3_P190_M_1	1.71	Root; d__Bacteria; p__Patescibacteria
D3_P190_M_1	0.11	Root; d__Bacteria; p__Cyanobacteriota
D3_P190_M_1	0.06	Root; d__Bacteria; p__Verrucomicrobiota
D3_P190_M_1	0.11	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
D3_P190_M_1	0.11	Root; d__Archaea; p__Thermoproteota; c__Thermoprotei_A
D3_P190_M_1	0.87	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
D3_P190_M_1	3.37	Root; d__Bacteria; p__Bacillota; c__Bacilli
D3_P190_M_1	6.75	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D3_P190_M_1	1.31	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
D3_P190_M_1	0.03	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
D3_P190_M_1	0.51	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
D3_P190_M_1	5.42	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D3_P190_M_1	3.43	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
D3_P190_M_1	1.58	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D3_P190_M_1	0.96	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D3_P190_M_1	0.28	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia
D3_P190_M_1	0.23	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
D3_P190_M_1	0.4	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
D3_P190_M_1	0.11	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia
D3_P190_M_1	0.06	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
D3_P190_M_1	0.29	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
D3_P190_M_1	0.23	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
D3_P190_M_1	0.17	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
D3_P190_M_1	0.37	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales
D3_P190_M_1	0.16	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
D3_P190_M_1	4.53	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
D3_P190_M_1	1.96	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D3_P190_M_1	0.5	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
D3_P190_M_1	0.44	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
D3_P190_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
D3_P190_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
D3_P190_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_D
D3_P190_M_1	5.2	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
