sample	coverage	taxonomy
D1_P102_M_1	5.82	Root; d__Archaea
D1_P102_M_1	19.61	Root; d__Bacteria
D1_P102_M_1	0.21	Root; d__Archaea; p__Methanobacteriota
D1_P102_M_1	0.86	Root; d__Archaea; p__Thermoproteota
D1_P102_M_1	1.06	Root; d__Bacteria; p__Actinomycetota
D1_P102_M_1	0.16	Root; d__Bacteria; p__Bacteroidota
D1_P102_M_1	0.11	Root; d__Bacteria; p__Bacillota_B
D1_P102_M_1	0.36	Root; d__Bacteria; p__Pseudomonadota
D1_P102_M_1	0.41	Root; d__Bacteria; p__Chloroflexota
D1_P102_M_1	0.25	Root; d__Bacteria; p__Spirochaetota
D1_P102_M_1	0.11	Root; d__Bacteria; p__Desulfobacterota
D1_P102_M_1	0.42	Root; d__Bacteria; p__Patescibacteria
D1_P102_M_1	1.7	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
D1_P102_M_1	1.31	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D1_P102_M_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
D1_P102_M_1	0.8	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
D1_P102_M_1	5.99	Root; d__Bacteria; p__Bacillota; c__Bacilli
D1_P102_M_1	11.65	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D1_P102_M_1	0.82	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D1_P102_M_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
D1_P102_M_1	0.98	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D1_P102_M_1	1.53	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
D1_P102_M_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
D1_P102_M_1	0.74	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
D1_P102_M_1	9.97	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
D1_P102_M_1	0.63	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
D1_P102_M_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
D1_P102_M_1	1.91	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D1_P102_M_1	1.04	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
D1_P102_M_1	0.57	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
D1_P102_M_1	0.37	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
