sample	coverage	taxonomy
G1_P276_M_1	6.53	Root; d__Archaea
G1_P276_M_1	21.99	Root; d__Bacteria
G1_P276_M_1	0.42	Root; d__Archaea; p__Methanobacteriota
G1_P276_M_1	1.01	Root; d__Archaea; p__Thermoproteota
G1_P276_M_1	0.27	Root; d__Archaea; p__Halobacteriota
G1_P276_M_1	0.99	Root; d__Bacteria; p__Actinomycetota
G1_P276_M_1	0.06	Root; d__Bacteria; p__Bacillota_A
G1_P276_M_1	0.28	Root; d__Bacteria; p__Bacillota_B
G1_P276_M_1	0.09	Root; d__Bacteria; p__Pseudomonadota
G1_P276_M_1	0.22	Root; d__Bacteria; p__Patescibacteria
G1_P276_M_1	0.68	Root; d__Bacteria; p__Chloroflexota
G1_P276_M_1	0.06	Root; d__Bacteria; p__Desulfobacterota
G1_P276_M_1	0.06	Root; d__Bacteria; p__Spirochaetota
G1_P276_M_1	1.54	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
G1_P276_M_1	3.69	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
G1_P276_M_1	0.53	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
G1_P276_M_1	0.26	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
G1_P276_M_1	17.96	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
G1_P276_M_1	8.28	Root; d__Bacteria; p__Bacillota; c__Bacilli
G1_P276_M_1	0.28	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
G1_P276_M_1	0.37	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
G1_P276_M_1	0.85	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
G1_P276_M_1	2.12	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
G1_P276_M_1	1.32	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
G1_P276_M_1	0.65	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
G1_P276_M_1	0.58	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
G1_P276_M_1	1.93	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
G1_P276_M_1	2.14	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
G1_P276_M_1	0.76	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
G1_P276_M_1	1.0	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
G1_P276_M_1	0.98	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
G1_P276_M_1	0.71	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
G1_P276_M_1	0.25	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
G1_P276_M_1	0.59	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
G1_P276_M_1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
G1_P276_M_1	0.29	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
G1_P276_M_1	1.34	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
G1_P276_M_1	0.47	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
G1_P276_M_1	0.52	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
G1_P276_M_1	0.57	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
G1_P276_M_1	0.22	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
G1_P276_M_1	0.56	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
G1_P276_M_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
G1_P276_M_1	1.21	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales
G1_P276_M_1	0.87	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae
G1_P276_M_1	72.82	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae
G1_P276_M_1	1.33	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae
G1_P276_M_1	1.96	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae
G1_P276_M_1	1.36	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae
G1_P276_M_1	0.48	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Dermatophilaceae
G1_P276_M_1	1.25	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae
G1_P276_M_1	0.79	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Geodermatophilaceae
G1_P276_M_1	0.76	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae
G1_P276_M_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Pseudonocardiaceae
G1_P276_M_1	0.99	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae
G1_P276_M_1	1.52	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae
G1_P276_M_1	0.37	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__70-9
G1_P276_M_1	1.41	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae
G1_P276_M_1	0.35	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae
G1_P276_M_1	5.29	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
G1_P276_M_1	5.81	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae
G1_P276_M_1	0.86	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae
G1_P276_M_1	5.05	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
G1_P276_M_1	0.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932
G1_P276_M_1	0.18	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
G1_P276_M_1	0.29	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae
G1_P276_M_1	0.27	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae
G1_P276_M_1	170.94	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
G1_P276_M_1	10.85	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
G1_P276_M_1	0.71	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
G1_P276_M_1	0.39	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-465
G1_P276_M_1	1.3	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
G1_P276_M_1	3.09	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
G1_P276_M_1	0.41	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
G1_P276_M_1	0.92	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
G1_P276_M_1	1.84	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
G1_P276_M_1	1.16	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
G1_P276_M_1	1.1	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__CAG-74
G1_P276_M_1	2.66	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales; f__Anaeroplasmataceae
G1_P276_M_1	25.6	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae
G1_P276_M_1	6.09	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae
G1_P276_M_1	0.41	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmoidaceae
G1_P276_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Metamycoplasmataceae
G1_P276_M_1	0.42	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Planococcaceae
G1_P276_M_1	0.26	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20; f__CAG-826
G1_P276_M_1	0.8	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660
G1_P276_M_1	0.46	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
G1_P276_M_1	0.34	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae
G1_P276_M_1	0.26	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae
G1_P276_M_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A
G1_P276_M_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae
G1_P276_M_1	4.9	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_A
G1_P276_M_1	1.07	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter
G1_P276_M_1	285.11	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter_B
G1_P276_M_1	2.02	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter
G1_P276_M_1	0.47	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae; g__Specibacter
G1_P276_M_1	1.29	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae; g__Arthrobacter_D
G1_P276_M_1	1.04	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas
G1_P276_M_1	0.3	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Cellulomonadaceae; g__Xylanimonas
G1_P276_M_1	2.09	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium
G1_P276_M_1	1.31	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia
G1_P276_M_1	0.82	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium
G1_P276_M_1	0.87	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Mycobacteriaceae; g__Mycobacterium
G1_P276_M_1	0.53	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Geodermatophilaceae; g__Blastococcus
G1_P276_M_1	0.42	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales; f__Micromonosporaceae; g__Actinoplanes
G1_P276_M_1	4.81	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides
G1_P276_M_1	0.47	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae; g__Aeromicrobium
G1_P276_M_1	0.9	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Solirubrobacter
G1_P276_M_1	14.67	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__Slackia_A
G1_P276_M_1	0.37	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae; g__UBA9715
G1_P276_M_1	0.39	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__UBA1367
G1_P276_M_1	1.93	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella
G1_P276_M_1	0.42	Root; d__Bacteria; p__Actinomycetota; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter_D
G1_P276_M_1	14.54	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola
G1_P276_M_1	1.13	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Mediterranea
G1_P276_M_1	8.5	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
G1_P276_M_1	0.59	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella
G1_P276_M_1	6.17	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Alloprevotella
G1_P276_M_1	2.71	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__UBA4372
G1_P276_M_1	6.54	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932; g__Cryptobacteroides
G1_P276_M_1	0.98	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides
G1_P276_M_1	0.71	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__Aphodosoma
G1_P276_M_1	31.6	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Schaedlerella
G1_P276_M_1	158.02	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Faecalimonas
G1_P276_M_1	1.66	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__CAG-317
G1_P276_M_1	3.49	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter
