sample	coverage	taxonomy
D1_P225_M_1	2.32	Root; d__Archaea
D1_P225_M_1	17.0	Root; d__Bacteria
D1_P225_M_1	0.11	Root; d__Archaea; p__Methanobacteriota
D1_P225_M_1	0.06	Root; d__Bacteria; p__Bacillota_A
D1_P225_M_1	1.49	Root; d__Bacteria; p__Actinomycetota
D1_P225_M_1	0.32	Root; d__Bacteria; p__Bacteroidota
D1_P225_M_1	0.55	Root; d__Bacteria; p__Pseudomonadota
D1_P225_M_1	0.18	Root; d__Bacteria; p__Desulfobacterota
D1_P225_M_1	0.25	Root; d__Bacteria; p__Bacillota_B
D1_P225_M_1	0.06	Root; d__Bacteria; p__Spirochaetota
D1_P225_M_1	0.69	Root; d__Bacteria; p__Patescibacteria
D1_P225_M_1	0.71	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
D1_P225_M_1	22.23	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D1_P225_M_1	0.17	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
D1_P225_M_1	2.05	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D1_P225_M_1	0.23	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
D1_P225_M_1	0.07	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D1_P225_M_1	0.48	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D1_P225_M_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
D1_P225_M_1	3.88	Root; d__Bacteria; p__Bacillota; c__Bacilli
D1_P225_M_1	0.69	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
D1_P225_M_1	0.06	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
D1_P225_M_1	1.55	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
D1_P225_M_1	21.37	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
D1_P225_M_1	0.55	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
D1_P225_M_1	0.97	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
D1_P225_M_1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
D1_P225_M_1	1.44	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
D1_P225_M_1	1.0	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
D1_P225_M_1	2.31	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
D1_P225_M_1	1.62	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
D1_P225_M_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
D1_P225_M_1	0.12	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Propionibacteriales
D1_P225_M_1	0.39	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
D1_P225_M_1	3.54	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
D1_P225_M_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
D1_P225_M_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A
D1_P225_M_1	0.1	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
D1_P225_M_1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
D1_P225_M_1	1.14	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
D1_P225_M_1	1.94	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D1_P225_M_1	0.48	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
D1_P225_M_1	0.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
D1_P225_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
D1_P225_M_1	0.06	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales
D1_P225_M_1	0.64	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
D1_P225_M_1	0.22	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae
D1_P225_M_1	0.46	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
D1_P225_M_1	0.2	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
D1_P225_M_1	1.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
D1_P225_M_1	0.76	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
D1_P225_M_1	18.19	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-465
D1_P225_M_1	10.41	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-508
D1_P225_M_1	2.1	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
D1_P225_M_1	26.29	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
D1_P225_M_1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__CAG-274
D1_P225_M_1	2.95	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
D1_P225_M_1	4.99	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
D1_P225_M_1	2.59	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
