sample	coverage	taxonomy
D3_P9_M_1	4.81	Root; d__Archaea
D3_P9_M_1	27.78	Root; d__Bacteria
D3_P9_M_1	0.27	Root; d__Archaea; p__Methanobacteriota
D3_P9_M_1	0.57	Root; d__Archaea; p__Thermoproteota
D3_P9_M_1	0.11	Root; d__Bacteria; p__Bacillota_A
D3_P9_M_1	0.23	Root; d__Bacteria; p__Bacillota_B
D3_P9_M_1	1.08	Root; d__Bacteria; p__Chloroflexota
D3_P9_M_1	0.4	Root; d__Bacteria; p__Pseudomonadota
D3_P9_M_1	0.57	Root; d__Bacteria; p__Patescibacteria
D3_P9_M_1	0.06	Root; d__Bacteria; p__Spirochaetota
D3_P9_M_1	0.11	Root; d__Bacteria; p__Cyanobacteriota
D3_P9_M_1	1.24	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
D3_P9_M_1	12.25	Root; d__Bacteria; p__Bacillota; c__Bacilli
D3_P9_M_1	2.88	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D3_P9_M_1	0.58	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
D3_P9_M_1	0.67	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
D3_P9_M_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia
D3_P9_M_1	7.86	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D3_P9_M_1	0.06	Root; d__Bacteria; p__Bacillota_B; c__Peptococcia
D3_P9_M_1	0.07	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
D3_P9_M_1	0.92	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D3_P9_M_1	1.09	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
D3_P9_M_1	1.02	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D3_P9_M_1	0.06	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia
D3_P9_M_1	0.75	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
