sample	coverage	taxonomy
G3_P179_M_1	7.46	Root; d__Archaea
G3_P179_M_1	19.96	Root; d__Bacteria
G3_P179_M_1	0.11	Root; d__Archaea; p__Methanobacteriota
G3_P179_M_1	0.16	Root; d__Archaea; p__Thermoplasmatota
G3_P179_M_1	0.44	Root; d__Archaea; p__Halobacteriota
G3_P179_M_1	1.94	Root; d__Archaea; p__Thermoproteota
G3_P179_M_1	0.37	Root; d__Bacteria; p__Bacillota_A
G3_P179_M_1	0.54	Root; d__Bacteria; p__Bacteroidota
G3_P179_M_1	1.77	Root; d__Bacteria; p__Actinomycetota
G3_P179_M_1	0.17	Root; d__Bacteria; p__Bacillota_B
G3_P179_M_1	0.15	Root; d__Bacteria; p__Desulfobacterota
G3_P179_M_1	0.11	Root; d__Bacteria; p__Patescibacteria
G3_P179_M_1	0.4	Root; d__Bacteria; p__Pseudomonadota
G3_P179_M_1	1.44	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
G3_P179_M_1	25.99	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
G3_P179_M_1	8.86	Root; d__Bacteria; p__Bacillota; c__Bacilli
G3_P179_M_1	0.28	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
G3_P179_M_1	1.03	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
G3_P179_M_1	0.17	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
G3_P179_M_1	0.17	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia
G3_P179_M_1	0.48	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
G3_P179_M_1	0.33	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
G3_P179_M_1	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
G3_P179_M_1	0.52	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
G3_P179_M_1	1.49	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
G3_P179_M_1	0.83	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
G3_P179_M_1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
G3_P179_M_1	0.43	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
G3_P179_M_1	4.81	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
G3_P179_M_1	2.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
G3_P179_M_1	1.07	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
G3_P179_M_1	1.05	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
G3_P179_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
G3_P179_M_1	19.82	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
G3_P179_M_1	0.58	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
G3_P179_M_1	0.92	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Mycobacteriales
G3_P179_M_1	3.79	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
G3_P179_M_1	0.23	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
G3_P179_M_1	0.06	Root; d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales
G3_P179_M_1	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
G3_P179_M_1	0.38	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae
G3_P179_M_1	2.86	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
G3_P179_M_1	27.53	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
G3_P179_M_1	3.64	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
G3_P179_M_1	6.17	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
G3_P179_M_1	0.57	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
G3_P179_M_1	1.17	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
G3_P179_M_1	274.94	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
G3_P179_M_1	0.38	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__CAG-274
G3_P179_M_1	10.64	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
G3_P179_M_1	3.91	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
G3_P179_M_1	2.78	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-465
G3_P179_M_1	0.86	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-508
G3_P179_M_1	1.38	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__CAG-74
G3_P179_M_1	176.59	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae
G3_P179_M_1	7.66	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae
G3_P179_M_1	2.46	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
G3_P179_M_1	0.35	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
G3_P179_M_1	0.18	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales; f__Anaeroplasmataceae
G3_P179_M_1	2.27	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660
G3_P179_M_1	61.23	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
G3_P179_M_1	1.05	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae
G3_P179_M_1	0.71	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
G3_P179_M_1	0.53	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae
G3_P179_M_1	0.07	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932
G3_P179_M_1	0.32	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Bifidobacteriaceae
G3_P179_M_1	0.23	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae
G3_P179_M_1	7.48	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
G3_P179_M_1	6.28	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae
G3_P179_M_1	1.4	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae
G3_P179_M_1	1.19	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae
G3_P179_M_1	1.33	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae
G3_P179_M_1	0.7	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
G3_P179_M_1	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
G3_P179_M_1	0.14	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A
G3_P179_M_1	0.17	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae
G3_P179_M_1	5.85	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobrevibacter_A
G3_P179_M_1	0.44	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanosphaera
G3_P179_M_1	3.84	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae; g__Peptostreptococcus
G3_P179_M_1	8.37	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae; g__Peptacetobacter
G3_P179_M_1	0.01	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae; g__Paraclostridium
G3_P179_M_1	0.23	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae; g__Terrisporobacter
G3_P179_M_1	4.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Lentihominibacter
G3_P179_M_1	29.49	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Emergencia
G3_P179_M_1	6.86	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__RUG099
G3_P179_M_1	3.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Fimisoma
G3_P179_M_1	1.79	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__RGIG7179
G3_P179_M_1	4.62	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Eubacterium_B
G3_P179_M_1	2.38	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Gallibacter
G3_P179_M_1	1.66	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__CAG-238
G3_P179_M_1	1.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Avanaerovorax
G3_P179_M_1	12.04	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Negativibacillus
G3_P179_M_1	24.87	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__RGIG3102
G3_P179_M_1	0.32	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Avimicrobium
