sample	coverage	taxonomy
D1_P295_M_1	6.52	Root; d__Archaea
D1_P295_M_1	3.08	Root; d__Bacteria
D1_P295_M_1	0.11	Root; d__Archaea; p__Methanobacteriota
D1_P295_M_1	2.61	Root; d__Archaea; p__Thermoproteota
D1_P295_M_1	0.58	Root; d__Archaea; p__Halobacteriota
D1_P295_M_1	0.06	Root; d__Bacteria; p__Bacteroidota
D1_P295_M_1	0.54	Root; d__Bacteria; p__Actinomycetota
D1_P295_M_1	0.8	Root; d__Bacteria; p__Bacillota_B
D1_P295_M_1	0.47	Root; d__Bacteria; p__Pseudomonadota
D1_P295_M_1	0.4	Root; d__Bacteria; p__Spirochaetota
D1_P295_M_1	0.69	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
D1_P295_M_1	1.71	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
D1_P295_M_1	14.72	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
D1_P295_M_1	17.06	Root; d__Bacteria; p__Bacillota; c__Bacilli
D1_P295_M_1	0.96	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
D1_P295_M_1	0.26	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
D1_P295_M_1	0.79	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
D1_P295_M_1	1.45	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
D1_P295_M_1	0.83	Root; d__Bacteria; p__Spirochaetota; c__Spirochaetia
D1_P295_M_1	0.05	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales
D1_P295_M_1	0.37	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
D1_P295_M_1	47.64	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
D1_P295_M_1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
D1_P295_M_1	4.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
D1_P295_M_1	2.9	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
D1_P295_M_1	3.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
D1_P295_M_1	0.65	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
D1_P295_M_1	0.74	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
D1_P295_M_1	1.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
D1_P295_M_1	0.77	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
D1_P295_M_1	1.87	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales
D1_P295_M_1	1.33	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales
D1_P295_M_1	1.19	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
D1_P295_M_1	0.63	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
D1_P295_M_1	0.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20
D1_P295_M_1	0.36	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__ML615J-28
D1_P295_M_1	1.83	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
D1_P295_M_1	0.34	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales
D1_P295_M_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_A
D1_P295_M_1	0.23	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
D1_P295_M_1	0.16	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae
D1_P295_M_1	1.86	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932
D1_P295_M_1	134.15	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
D1_P295_M_1	2.04	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
D1_P295_M_1	1.78	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae
D1_P295_M_1	1.92	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae
D1_P295_M_1	135.32	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
D1_P295_M_1	0.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Cellulosilyticaceae
D1_P295_M_1	0.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__CAG-274
D1_P295_M_1	0.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
D1_P295_M_1	8.48	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
D1_P295_M_1	0.25	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae
D1_P295_M_1	2.8	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
D1_P295_M_1	1.71	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
D1_P295_M_1	2.42	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
D1_P295_M_1	4.19	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-465
D1_P295_M_1	1.27	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77; f__CAG-508
D1_P295_M_1	6.32	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
D1_P295_M_1	4.35	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
D1_P295_M_1	1.47	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
D1_P295_M_1	13.52	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales; f__Anaeroplasmataceae
D1_P295_M_1	56.1	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae
D1_P295_M_1	4.63	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae
D1_P295_M_1	0.33	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Metamycoplasmataceae
D1_P295_M_1	0.79	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmoidaceae
D1_P295_M_1	1.2	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Planococcaceae
D1_P295_M_1	0.09	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__DSM-1321
D1_P295_M_1	0.23	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
D1_P295_M_1	0.32	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RFN20; f__CAG-826
D1_P295_M_1	0.81	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__RF39; f__UBA660
D1_P295_M_1	2.54	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae
D1_P295_M_1	1.35	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
D1_P295_M_1	1.41	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
D1_P295_M_1	7.72	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae
D1_P295_M_1	0.08	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae
D1_P295_M_1	1.8	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia; o__Actinomycetales; f__Micrococcaceae
D1_P295_M_1	0.95	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
