sample	coverage	taxonomy
G1_P82_M_1	4.43	Root; d__Archaea
G1_P82_M_1	28.16	Root; d__Bacteria
G1_P82_M_1	0.16	Root; d__Archaea; p__Methanobacteriota
G1_P82_M_1	0.05	Root; d__Archaea; p__Thermoplasmatota
G1_P82_M_1	4.39	Root; d__Archaea; p__Thermoproteota
G1_P82_M_1	0.32	Root; d__Archaea; p__Halobacteriota
G1_P82_M_1	0.28	Root; d__Bacteria; p__Bacillota_A
G1_P82_M_1	0.32	Root; d__Bacteria; p__Actinomycetota
G1_P82_M_1	0.05	Root; d__Bacteria; p__Bacteroidota
G1_P82_M_1	0.9	Root; d__Bacteria; p__Bacillota_B
G1_P82_M_1	0.13	Root; d__Bacteria; p__Pseudomonadota
G1_P82_M_1	0.17	Root; d__Bacteria; p__Spirochaetota
G1_P82_M_1	0.48	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
G1_P82_M_1	2.95	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
G1_P82_M_1	38.34	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
G1_P82_M_1	24.54	Root; d__Bacteria; p__Bacillota; c__Bacilli
G1_P82_M_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
G1_P82_M_1	0.9	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetia
G1_P82_M_1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
G1_P82_M_1	0.72	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
G1_P82_M_1	1.37	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
G1_P82_M_1	0.05	Root; d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales
G1_P82_M_1	2.26	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
G1_P82_M_1	3.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
G1_P82_M_1	23.63	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__TANB77
G1_P82_M_1	3.9	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
G1_P82_M_1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
G1_P82_M_1	2.47	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
G1_P82_M_1	4.94	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
G1_P82_M_1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
G1_P82_M_1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Acholeplasmatales
G1_P82_M_1	1.03	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
