D1_P102	4366147483
D1_P107	12652646395
D1_P167	9885409610
D1_P225	7785578958
D1_P295	9984393679
D1_P304	9606195669
D1_P46	5988435773
D1_P47	11448364247
D3_P186	6271705934
D3_P190	10828008641
D3_P191	4691257522
D3_P265	5721355932
D3_P266	3668671368
D3_P41	9664229742
D3_P75	9495199730
D3_P9	10895638935
G1_P178	8759016707
G1_P196	7298682937
G1_P276	10625374559
G1_P291	12381099041
G1_P294	12335299287
G1_P43	10213860443
G1_P74	6827228982
G1_P82	10691284516
G3_P143	7890694002
G3_P149	10738127993
G3_P14	11526855804
G3_P179	11564617688
G3_P212	7639568275
G3_P261	11625736616
G3_P301	10461236428
G3_P84	9362642126
