Genome	KRGM_100_05gb_M Relative Abundance (%)	KRGM_91_05gb_M Relative Abundance (%)	KRGM_92_05gb_M Relative Abundance (%)	KRGM_93_05gb_M Relative Abundance (%)	KRGM_94_05gb_M Relative Abundance (%)	KRGM_95_05gb_M Relative Abundance (%)	KRGM_96_05gb_M Relative Abundance (%)	KRGM_97_05gb_M Relative Abundance (%)	KRGM_98_05gb_M Relative Abundance (%)	KRGM_99_05gb_M Relative Abundance (%)
unmapped	56.78115	62.118824	53.073647	45.66271	42.32462	46.702736	45.77794	66.31973	56.65779	54.60868
05_gb_bin.10	0.044627815	0.042114656	1.4162865	2.9570467	0.3125147	0.054366514	0.06358311	0.05958725	0.05964188	0.047322556
05_gb_bin.11	1.2665155	0.17607476	0.020356061	0.50465864	0.5423144	0.7644217	0.18326843	0.30584708	0.09098925	0.08515103
05_gb_bin.12	0.62324595	0.5673152	0.42218396	0.1070568	0.06901442	0.108085625	0.29114246	0.5096675	0.16615349	0.37516898
05_gb_bin.13	0.0010344932	1.1789203	0.0027024506	0.0005807613	0.001676539	0.0010842774	0.0028360935	0.8342281	0.3814732	1.2873269
05_gb_bin.14	0.0005637196	0.0008572576	1.1765147	0.0003320979	0.758348	0.00044780562	0.0006426381	2.7957597	0.7494784	0.85378665
05_gb_bin.15	0.12319406	0.34717637	4.5786576	2.6538765	1.4600642	0.00377908	0.29734927	0.09994767	0.37843683	0.092808075
05_gb_bin.16	0.004608199	0.002782691	0.002828949	0.0039934493	7.8502517	0.0040351474	0.0036511482	0.0041112504	0.01137214	0.0022324238
05_gb_bin.17	0.002411252	1.3527521	0.25813222	0.0014692642	2.1320071	0.0007740613	0.0015888214	0.43400836	0.1927805	0.051915735
05_gb_bin.18	0.0028407755	0.000069508234	0.15778404	0.7049534	0.00014925544	0.00004376394	0	0.00003933527	2.1820898	0.00031827678
05_gb_bin.19	0.17181043	0.9470614	0.56872874	0.12780024	0.34917828	0.6785781	0.71617484	0.20962556	0.4294166	0.13799316
05_gb_bin.20	1.0756919	0.00082260085	1.1610384	0.00025035357	0.000035436893	0.00010284266	0.000029146358	0.011858192	0.45968607	0.9690119
05_gb_bin.21	0.0037627453	0.056049198	0.00007564813	0.00041356817	9.169801	0	0.0004697751	0.19030619	0.0037517613	1.421525
05_gb_bin.22	0.09451573	0.027859163	0.57147115	1.5421759	0.004287681	0.0725397	0.08161126	0.41948262	5.757885	0.0029243769
